Player,GP,TOI,GAR/60
JOSH.MORRISSEY,238,4899.84,0.09
JOSHUA.HO-SANG,53,804.96,0.32
J.T..BROWN,170,1621.71,0.04
J.T..COMPHER,157,2548.27,-0.09
J.T..MILLER,267,4299.21,0
JUJHAR.KHAIRA,139,1724.14,-0.09
JULIUS.HONKA,87,1214,0.09
JUSSI.JOKINEN,129,1895.9,0.18
JUSTIN.ABDELKADER,209,3384.23,-0.04
JUSTIN.BRAUN,253,5225.7,-0.09
JUSTIN.FALK,108,1581.62,-0.18
JUSTIN.FAULK,230,5193.72,-0.04
JUSTIN.SCHULTZ,201,4057.54,0.04
JUSTIN.WILLIAMS,254,4213.27,0.32
JUUSO.RIIKOLA,37,617.33,0
JYRKI.JOKIPAKKA,41,591.37,-0.22
KARL.ALZNER,180,3535.25,-0.04
KASPERI.KAPANEN,135,1914.14,0.14
KEITH.YANDLE,244,5615.45,-0.04
KENNY.AGOSTINO,68,867.01,0.14
KEVAN.MILLER,182,3436.8,0
KEVIN.BIEKSA,149,2730.63,-0.32
KEVIN.CONNAUTON,145,2303.32,-0.18
KEVIN.FIALA,231,3434.16,0.27
KEVIN.GRAVEL,101,1452.1,0.04
KEVIN.HAYES,233,4060.3,0.14
KEVIN.KLEIN,61,1076.42,-0.14
KEVIN.LABANC,221,3102.3,0.14
KEVIN.SHATTENKIRK,210,4109.77,-0.04
KIEFER.SHERWOOD,49,556.42,0.04
KLAS.DAHLBECK,76,1137.23,-0.32
KORBINIAN.HOLZER,74,1008.94,-0.32
KRIS.LETANG,195,4981.72,0.18
KRIS.RUSSELL,229,4647,0
KRIS.VERSTEEG,97,1393.7,-0.04
KYLE.BRODZIAK,230,2805.19,-0.04
KYLE.CLIFFORD,197,2070.78,0.14
KYLE.CONNOR,193,3364.76,0.18
KYLE.OKPOSO,217,3577.21,0
KYLE.PALMIERI,221,3891.46,0.5
KYLE.QUINCEY,93,1601.27,-0.14
KYLE.TURRIS,239,4223.87,0.22
LANCE.BOUMA,117,1286.55,0
LARS.ELLER,276,4227.32,0.09
LAURI.KORPIKOSKI,69,856.07,-0.14
LAWRENCE.PILUT,31,544.55,0.04
LAWSON.CROUSE,161,1983.74,0
LEE.STEMPNIAK,119,1760.67,-0.04
LEO.KOMAROV,243,3806.46,-0.09
LEON.DRAISAITL,253,5109.81,0.54
LIAS.ANDERSSON,47,509.99,-0.4
LOGAN.COUTURE,245,4490.45,0.5
LOGAN.SHAW,136,1475.13,-0.09
LOUI.ERIKSSON,193,3124.77,0.04
LUCA.SBISA,132,2456.07,-0.04
LUCAS.WALLMARK,97,1346.46,0.32
LUKAS.SEDLAK,164,1540.54,0.22
LUKE.GLENDENING,220,3084.15,-0.18
LUKE.KUNIN,66,989.11,-0.09
LUKE.SCHENN,165,2768.64,-0.22
LUKE.WITKOWSKI,97,856.26,-0.18
MACKENZIE.WEEGAR,122,1920.33,0.18
MADISON.BOWEY,99,1423.23,-0.18
MAGNUS.PAAJARVI,196,2509.04,0.18
MARC-EDOUARD.VLASIC,241,5252.28,0
MARC.METHOT,131,2544.05,-0.04
MARCO.SCANDELLA,221,4437.4,-0.09
MARC.STAAL,233,4436.17,-0.14
MARCUS.FOLIGNO,242,3083,0.18
MARCUS.JOHANSSON,183,3056.83,0.18
MARCUS.KRUGER,193,2309.16,0.09
MARCUS.PETTERSSON,108,1718.42,0.04
MARCUS.SORENSEN,145,1706.76,0.22
MARIAN.GABORIK,102,1470.95,0.04
MARIAN.HOSSA,77,1306.65,0.36
MARIO.KEMPE,69,772.76,0.09
MARK.BARBERIO,124,2206.91,-0.09
MARK.BOROWIECKI,175,2550.27,-0.04
MARK.GIORDANO,243,5887.78,0.14
MARK.JANKOWSKI,149,1941.27,0.09
MARK.LETESTU,177,2421.15,0.04
MARKO.DANO,61,571.32,0.14
MARK.PYSYK,232,4307.28,0.04
MARK.SCHEIFELE,236,4974.67,0.5
MARK.STONE,223,4404.96,0.68
MARK.STREIT,71,1318.25,0
MARK.STUART,42,523.08,-0.14
MARKUS.GRANLUND,195,3150.93,0.09
MARKUS.HANNIKAINEN,86,773.22,0.04
MARKUS.NUTIVAARA,212,3334.09,0.04
MARTIN.FRK,95,937.65,-0.09
MARTIN.HANZAL,121,1978,0
MARTIN.MARINCIN,54,895.42,0.04
MATHEW.BARZAL,161,2878.1,0.4
MATHIEU.JOSEPH,68,768.1,0.45
MATHIEU.PERREAULT,224,3167.36,0.32
MATS.ZUCCARELLO,220,4219.64,0.14
MATT.BARTKOWSKI,46,660.49,-0.14
MATT.BELESKEY,67,838.6,-0.04
MATT.BENNING,215,3506.5,0.04
MATT.CALVERT,222,3055.27,0.04
MATT.CULLEN,250,3150.48,-0.09
MATT.DUCHENE,229,4239.38,0.22
MATT.DUMBA,200,4498.31,0.09
MATT.GRZELCYK,136,2416.1,0.04
MATT.HENDRICKS,133,1290.85,-0.04
MATTHEW.PECA,59,661.6,-0.22
MATTHEW.TKACHUK,227,3739.68,0.36
MATT.HUNWICK,134,2402.64,0
MATTIAS.EKHOLM,275,6493.62,0.04
MATTIAS.JANMARK,160,2573.94,0
MATT.IRWIN,201,2750.65,0
MATT.MARTIN,202,1911.84,0.04
MATT.MOULSON,95,1084.15,0.32
MATT.NIETO,200,2915.4,0
MATT.NISKANEN,259,5836.3,0
MATT.READ,100,1293.05,0.09
MATT.STAJAN,152,1801.72,0.22
MATT.TENNYSON,60,867.13,-0.4
MAX.DOMI,220,3736.7,0.09
MAXIME.LAJOIE,55,1038.48,-0.22
MAX.PACIORETTY,215,3987.37,0.22
MELKER.KARLSSON,230,2872.5,0.09
MICHAEL.AMADIO,80,780.88,0.18
MICHAEL.CHAPUT,109,1196.71,-0.18
MICHAEL.DEL ZOTTO,174,3391.25,0
MICHAEL.FROLIK,219,3497.81,0.09
MICHAEL.GRABNER,208,2994.84,0.22
MICHAEL.MATHESON,81,1705.88,-0.14
MICHAEL.RAFFL,198,2505.56,0.04
MICHAEL.RASMUSSEN,62,748.72,-0.04
MICHAEL.STONE,164,2939.73,-0.09
MICHAL.KEMPNY,198,3367.55,0.14
MICHEAL.FERLAND,225,3046.21,-0.04
MICHEAL.HALEY,174,1443.79,-0.18
MIIKKA.SALOMAKI,114,1176.88,0.09
MIKAEL.BACKLUND,242,4406.96,0
MIKAEL.GRANLUND,245,4578.92,0.18
MIKA.ZIBANEJAD,220,4104.32,0.32
MIKE.CAMMALLERI,127,1967.58,0.04
MIKE.FISHER,120,1874.5,0.04
MIKE.GREEN,180,4063.93,0
MIKE.HOFFMAN,255,4588.31,0.22
MIKE.MATHESON,154,3353.27,-0.04
MIKE.REILLY,131,2127.87,-0.09
MIKE.RIBEIRO,46,734.62,-0.14
MIKHAIL.GRIGORENKO,75,1056.68,-0.04
MIKHAIL.SERGACHEV,170,2746.98,0.04
MIKKEL.BOEDKER,236,3288.8,-0.04
MIKKO.KOIVU,220,4113.64,0.22
MIKKO.RANTANEN,235,4520.6,0.27
MILAN.LUCIC,255,3967.9,-0.04
MILES.WOOD,202,2601.83,0.04
MIRCO.MUELLER,83,1460.21,-0.09
MIRO.HEISKANEN,80,1852.4,0
MITCH.MARNER,252,4451.94,0
MORGAN.RIELLY,245,5478.92,0.04
NAIL.YAKUPOV,98,1054.5,0.09
NATE.PROSSER,119,1516.53,0.04
NATE.SCHMIDT,226,4566.08,0.09
NATE.THOMPSON,196,2419.28,-0.22
NATHAN.BEAULIEU,184,3182.45,-0.09
NATHAN.MACKINNON,240,4946.76,0.63
NAZEM.KADRI,244,4040.92,0.4
NEAL.PIONK,99,2131.6,-0.14
NIC.DOWD,187,2087.59,0.14
NICK.BJUGSTAD,198,2885.26,0.14
NICK.BONINO,263,4287.16,0.04
NICK.COUSINS,210,2705.82,0.18
NICK.FOLIGNO,232,4248.38,0.04
NICK.HOLDEN,225,4347.67,0.14
NICK.JENSEN,206,3700.36,0.09
NICK.LAPPIN,54,654.57,-0.18
NICKLAS.BACKSTROM,273,5311.52,0.27
NICK.LEDDY,240,5337.75,-0.14
NICK.RITCHIE,230,3121.68,-0.04
NICK.SCHMALTZ,183,3005.66,0.04
NICK.SEELER,97,1270.42,0.04
NICK.SHORE,134,1801.98,0.04
NICO.HISCHIER,154,2633.67,0.32
NICOLAS.DESLAURIERS,147,1454.54,-0.04
NIC.PETAN,87,852.25,-0.22
NIKITA.KUCHEROV,251,4927.57,0.9
NIKITA.NESTEROV,50,810.62,-0.04
NIKITA.SOSHNIKOV,71,772.77,-0.14
NIKITA.TRYAMKIN,66,1104.85,-0.09
NIKITA.ZADOROV,206,3837.87,-0.18
NIKITA.ZAITSEV,233,5008.25,-0.09
NIKLAS.HJALMARSSON,204,4211.47,0.09
NIKLAS.KRONWALL,212,4090.6,0
NIKOLAJ.EHLERS,239,3938.38,0.36
NIKOLAY.GOLDOBIN,114,1555.67,-0.04
NIKOLAY.KULEMIN,85,1150.03,0.18
NINO.NIEDERREITER,234,3613.28,0.36
NOAH.HANIFIN,238,4561.98,0
NOAH.JUULSEN,44,805.42,-0.04
NOEL.ACCIARI,176,2203.81,0
NOLAN.PATRICK,150,2171.62,0.04
OLIVER.BJORKSTRAND,193,2577.84,0.4
OLIVER.EKMAN-LARSSON,239,5727.64,0.09
OLLI.MAATTA,232,4359.68,0.04
ONDREJ.KASE,161,2147.58,0.32
ONDREJ.PALAT,210,3576.83,0.22
OSCAR.FANTENBERG,91,1439.75,0.18
OSCAR.KLEFBOM,219,5042.04,0.04
OSCAR.LINDBERG,196,2252.96,0.04
OSKAR.LINDBLOM,105,1444.36,0.18
OSKAR.SUNDQVIST,124,1521.81,0.09
P.A..PARENTEAU,72,1031.63,0
PAR.LINDHOLM,63,718,-0.36
PAT.MAROON,72,1022.88,0.18
PATRICE.BERGERON,224,4320.62,0.58
PATRIC.HORNQVIST,236,3813.85,0.27
PATRICK.EAVES,93,1511.62,0.5
PATRICK.KANE,245,5239.49,0.27
PATRICK.MARLEAU,256,4315.88,0.04
PATRICK.MAROON,173,2885.05,0.04
PATRICK.SHARP,118,1667.13,-0.14
PATRICK.WIERCIOCH,57,949.9,-0.27
PATRIK.BERGLUND,173,2716.54,0.18
PATRIK.LAINE,252,4341.27,0.5
PATRIK.NEMETH,184,3289.24,0.09
PAUL.BYRON,223,3433.35,0.4
PAUL.CAREY,67,684.15,-0.32
PAUL.LADUE,68,958.1,0.36
PAUL.MARTIN,107,1955.5,-0.14
PAUL.POSTMA,79,848.7,-0.14
PAUL.STASTNY,220,4082.65,0.36
PAVEL.BUCHNEVICH,182,2648.66,0.18
PAVEL.ZACHA,203,3011.8,0
PETER.HOLLAND,71,897.23,-0.18
PHIL.KESSEL,281,5087.64,0.09
PHILLIP.DANAULT,218,3620.81,0.18
PHILLIP.DI GIUSEPPE,109,1200.5,-0.04
PIERRE-EDOUARD.BELLEMARE,247,3081.39,0.14
PIERRE-LUC.DUBOIS,167,2904.5,0.18
P.K..SUBBAN,243,5856.92,0.14
PONTUS.ABERG,143,1897.51,0.09
RADEK.FAKSA,238,3799.59,0.14
RADIM.SIMEK,41,623.82,0.14
RADIM.VRBATA,123,1910.7,-0.04
RADKO.GUDAS,217,3928.83,0
RASMUS.ANDERSSON,87,1389.83,0.09
RASMUS.DAHLIN,80,1693.85,0.04
RASMUS.RISTOLAINEN,228,5900.07,-0.18
REID.BOUCHER,59,692.67,0
REILLY.SMITH,239,4375.32,0.22
REMI.ELIE,106,1185.13,0.14
RENE.BOURQUE,65,906.37,-0.18
RICHARD.PANIK,231,3574.62,0.14
RICKARD.RAKELL,234,4328.42,0.4
RICK.NASH,162,2729.11,0.36
RILEY.NASH,247,3318.42,0
RILEY.SHEAHAN,253,3568.52,-0.04
ROBBY.FABBRI,81,1176.89,-0.04
ROBERT.BORTUZZO,177,2591.93,0.09
ROBERT.HAGG,151,2644.85,-0.27
ROBERT.THOMAS,68,887.13,0
ROCCO.GRIMALDI,52,521.25,0.18
ROMAN.JOSI,261,6526.81,0.09
ROMAN.POLAK,214,3906.67,-0.18
RON.HAINSEY,264,5633.2,0.04
ROOPE.HINTZ,56,782.7,0.04
RYAN.CALLAHAN,150,1899.01,0.09
RYAN.CARPENTER,144,1806.65,0.09
RYAN.DONATO,69,948.55,0
RYAN.DZINGEL,249,3903.02,0.18
RYAN.ELLIS,229,5466.52,0.18
RYAN.GETZLAF,216,4519.45,0.14
RYAN.HARTMAN,246,3186.58,0.14
RYAN.JOHANSEN,265,5051.35,0.18
RYAN.KESLER,206,3946.48,0.14
RYAN.MCDONAGH,249,5821.61,0.09
RYAN.MURPHY,49,771.48,0
RYAN.MURRAY,166,3240.56,-0.14
RYAN.NUGENT-HOPKINS,237,4421.55,0.09
RYAN.O'REILLY,233,4888.79,0.36
RYAN.PULOCK,147,3014.2,0.04
RYAN.REAVES,258,2344.14,0.04
RYAN.SPOONER,191,2618.9,-0.04
RYAN.SPROUL,43,670.91,-0.09
RYAN.STROME,230,3484.14,0.04
RYAN.SUTER,245,6586.24,0.22
RYAN.WHITE,68,713.98,0
SAM.BENNETT,237,3383.91,-0.14
SAM.GAGNER,189,2724.46,0.04
SAMI.VATANEN,209,4575.74,-0.09
SAM.REINHART,241,4281.09,0.18
SAMUEL.GIRARD,154,2905.05,0.09
SCOTT.HARRINGTON,128,1672.52,-0.18
SCOTT.HARTNELL,148,1766.68,0.18
SCOTTIE.UPSHALL,147,1612.96,-0.04
SCOTT.LAUGHTON,166,2135.27,0.14
SCOTT.MAYFIELD,148,2619.87,0.04
SCOTT.WILSON,179,2076.6,0.18
SEAN.COUTURIER,230,4797.17,0.4
SEAN.KURALY,170,2163.07,0.04
SEAN.MONAHAN,237,4365.45,0.27
SEAN.WALKER,38,585.22,0
SEBASTIAN.AHO,239,4362.34,0.18
SERGEY.KALININ,43,550.13,0
SETH.GRIFFITH,45,527.5,-0.09
SETH.JONES,236,5851.97,0.04
SHANE.DOAN,74,1113.55,-0.32
SHANE.PRINCE,64,816.56,-0.09
SHAWN.MATTHIAS,72,911.87,-0.04
SHAYNE.GOSTISBEHERE,235,4764.77,0.09
SHEA.THEODORE,206,4038.78,0.18
SHEA.WEBER,165,4074.64,0.18
SIDNEY.CROSBY,270,5509.62,0.63
SLATER.KOEKKOEK,92,1211.39,-0.09
SONNY.MILANO,58,660.63,0.63
STEFAN.NOESEN,160,2014.17,-0.04
STEPHEN.JOHNS,136,2429.46,0.04
STEVEN.KAMPFER,66,1002.1,-0.09
STEVEN.SANTINI,111,1952.92,-0.18
STEVEN.STAMKOS,192,3532.48,0.72
STEVE.OTT,59,644.72,-0.14
SVEN.ANDRIGHETTO,162,2109.7,0.14
SVEN.BAERTSCHI,145,2265.13,0.22
TAGE.THOMPSON,106,1277.33,-0.04
TANNER.FRITZ,41,500.43,0.04
TANNER.KERO,59,779.88,0.04
TANNER.PEARSON,243,3759.65,0.22
TAYLOR.CHORNEY,43,585.2,-0.22
TAYLOR.FEDUN,86,1178.23,0.18
TAYLOR.HALL,186,3595.2,0.58
TEUVO.TERAVAINEN,242,4110.66,0.18
THOMAS.CHABOT,131,2746.61,0.04
THOMAS.HICKEY,184,3299.25,-0.09
THOMAS.VANEK,217,3088.63,-0.04
TIM.HEED,65,984.45,0.18
TIMO.MEIER,207,3144.07,0.27
TIM.SCHALLER,203,2495.67,0.04
TJ.BRODIE,236,5402.55,0.14
T.J..OSHIE,245,4564.3,0.45
TOBIAS.ENSTROM,114,2228.22,0
TOBIAS.RIEDER,227,3401.1,-0.04
TOMAS.HERTL,219,4011.28,0.09
TOMAS.JURCO,58,674.3,0
TOMAS.NOSEK,161,1866.87,0.09
TOMAS.PLEKANEC,168,2687.87,0
TOMAS.TATAR,248,4090.51,0.32
TOM.KUHNHACKL,183,1985.13,-0.04
TOMMY.WINGELS,160,1748.95,0.14
TOM.PYATT,214,3038.77,-0.09
TOM.WILSON,253,3927.96,0.18
TONY.DEANGELO,92,1687.68,-0.09
TOREY.KRUG,231,4860.96,0.09
TORREY.MITCHELL,145,1734.61,0.09
TRAVIS.BOYD,59,575.73,-0.09
TRAVIS.DERMOTT,107,1777.95,0.14
TRAVIS.HAMONIC,190,3930.71,-0.04
TRAVIS.KONECNY,236,3480.55,0.22
TRAVIS.SANHEIM,132,2363.37,0
TRAVIS.ZAJAC,226,4309.91,0.09
TREVOR.DALEY,197,3928.43,-0.18
TREVOR.LEWIS,196,2856.59,0.09
TREVOR.VAN RIEMSDYK,216,3621.74,0
TROY.BROUWER,227,3241.73,-0.04
TROY.STECHER,214,4182.77,-0.04
TYLER.BERTUZZI,119,1854.83,0.18
TYLER.BOZAK,243,3924.85,0.09
TYLER.ENNIS,175,2031.73,0.14
TYLER.GRAOVAC,52,511.72,-0.04
TYLER.JOHNSON,242,4141.25,0.22
TYLER.MOTTE,152,1833.56,0
TYLER.MYERS,187,3899.6,0
TYLER.PITLICK,156,2005.98,0.14
TYLER.SEGUIN,244,4898.32,0.18
TYLER.TOFFOLI,229,3816.45,0.14
TY.RATTIE,71,857.07,-0.09
TYSON.BARRIE,222,5009.99,-0.04
TYSON.JOST,143,1993.57,0.14
VALERI.NICHUSHKIN,57,679.27,-0.18
VALTTERI.FILPPULA,237,3820.08,0.09
VERNON.FIDDLER,68,759.78,0.04
VICTOR.ANTIPIN,47,718.05,-0.18
VICTOR.HEDMAN,243,5963.23,0
VICTOR.METE,117,1962.46,0.09
VICTOR.RASK,200,3076.88,0
VIKTOR.ARVIDSSON,248,4452.51,0.27
VIKTOR.STALBERG,92,1148.55,0.27
VINCE.DUNN,151,2622.17,0.18
VINCENT.TROCHECK,217,4503.87,0.18
VINNIE.HINOSTROZA,169,2331.91,0.14
VLADIMIR.SOBOTKA,162,2574.47,-0.32
VLADIMIR.TARASENKO,247,4629.92,0.63
VLADISLAV.NAMESTNIKOV,231,3679,0.04
WARREN.FOEGELE,75,943.65,0.04
WAYNE.SIMMONDS,240,4218.92,0.04
WILL.BUTCHER,162,2859.44,0.09
WILLIAM.CARRIER,141,1293.31,0.18
WILLIAM.KARLSSON,267,4607.41,0.54
WILLIAM.NYLANDER,228,3691.72,0.27
XAVIER.OUELLET,129,2117.72,0
YANNICK.WEBER,208,2461.26,-0.04
YANNI.GOURDE,197,3115.1,0.45
YOHANN.AUVITU,58,837.41,-0.14
ZACH.ASTON-REESE,66,838.85,0.18
ZACH.BOGOSIAN,139,2875.43,-0.14
ZACH.HYMAN,246,4216.13,0.22
ZACH.PARISE,193,3449.64,0.09
ZACH.SANFORD,82,1008.33,0.09
ZACH.WERENSKI,243,5389.95,0
ZACK.KASSIAN,243,3141.37,-0.09
ZACK.SMITH,228,3752.12,-0.09
ZAC.RINALDO,76,761.92,-0.27
ZDENO.CHARA,227,5163.98,0
ZEMGUS.GIRGENSONS,216,2911.39,0